"GeographyId","GeographyTypeId","GeographyName","GeographyFullName"
433,4,"36097(cbwsonly)","Schuyler, NY"
434,4,"36101(cbwsonly)","Steuben, NY"
435,4,"36107(cbwsonly)","Tioga, NY"
436,4,"36109(cbwsonly)","Tompkins, NY"
437,4,"36123(cbwsonly)","Yates, NY"
438,4,"42001(cbwsonly)","Adams, PA"
439,4,"42009(cbwsonly)","Bedford, PA"
440,4,"42011(cbwsonly)","Berks, PA"
441,4,"42013(cbwsonly)","Blair, PA"
442,4,"42015(cbwsonly)","Bradford, PA"
443,4,"42021(cbwsonly)","Cambria, PA"
444,4,"42023(cbwsonly)","Cameron, PA"
460,4,"42025(cbwsonly)","Carbon, PA"
445,4,"42027(cbwsonly)","Centre, PA"
446,4,"42029(cbwsonly)","Chester, PA"
447,4,"42033(cbwsonly)","Clearfield, PA"
448,4,"42035(cbwsonly)","Clinton, PA"
449,4,"42037(cbwsonly)","Columbia, PA"
450,4,"42041(cbwsonly)","Cumberland, PA"
451,4,"42043(cbwsonly)","Dauphin, PA"
452,4,"42047(cbwsonly)","Elk, PA"
453,4,"42055(cbwsonly)","Franklin, PA"
454,4,"42057(cbwsonly)","Fulton, PA"
455,4,"42061(cbwsonly)","Huntingdon, PA"
456,4,"42063(cbwsonly)","Indiana, PA"
457,4,"42065(cbwsonly)","Jefferson, PA"
458,4,"42067(cbwsonly)","Juniata, PA"
459,4,"42069(cbwsonly)","Lackawanna, PA"
332,4,"42071(cbwsonly)","Lancaster, PA"
333,4,"42075(cbwsonly)","Lebanon, PA"
324,4,"42079(cbwsonly)","Luzerne, PA"
315,4,"42081(cbwsonly)","Lycoming, PA"
316,4,"42083(cbwsonly)","Mckean, PA"
325,4,"42087(cbwsonly)","Mifflin, PA"
326,4,"42093(cbwsonly)","Montour, PA"
327,4,"42097(cbwsonly)","Northumberland, PA"
328,4,"42099(cbwsonly)","Perry, PA"
317,4,"42105(cbwsonly)","Potter, PA"
329,4,"42107(cbwsonly)","Schuylkill, PA"
330,4,"42109(cbwsonly)","Snyder, PA"
318,4,"42111(cbwsonly)","Somerset, PA"
319,4,"42113(cbwsonly)","Sullivan, PA"
320,4,"42115(cbwsonly)","Susquehanna, PA"
321,4,"42117(cbwsonly)","Tioga, PA"
331,4,"42119(cbwsonly)","Union, PA"
322,4,"42127(cbwsonly)","Wayne, PA"
323,4,"42131(cbwsonly)","Wyoming, PA"
334,4,"42133(cbwsonly)","York, PA"
335,4,"51001(cbwsonly)","Accomack, VA"
362,4,"51003(cbwsonly)","Albemarle, VA"
390,4,"51005(cbwsonly)","Alleghany, VA"
363,4,"51007(cbwsonly)","Amelia, VA"
364,4,"51009(cbwsonly)","Amherst, VA"
365,4,"51011(cbwsonly)","Appomattox, VA"
336,4,"51013(cbwsonly)","Arlington, VA"
391,4,"51015(cbwsonly)","Augusta, VA"
392,4,"51017(cbwsonly)","Bath, VA"
366,4,"51019(cbwsonly)","Bedford, VA"
393,4,"51023(cbwsonly)","Botetourt, VA"
367,4,"51029(cbwsonly)","Buckingham, VA"
368,4,"51031(cbwsonly)","Campbell, VA"
337,4,"51033(cbwsonly)","Caroline, VA"
338,4,"51036(cbwsonly)","Charles City, VA"
369,4,"51041(cbwsonly)","Chesterfield, VA"
394,4,"51043(cbwsonly)","Clarke, VA"
395,4,"51045(cbwsonly)","Craig, VA"
370,4,"51047(cbwsonly)","Culpeper, VA"
371,4,"51049(cbwsonly)","Cumberland, VA"
372,4,"51053(cbwsonly)","Dinwiddie, VA"
339,4,"51057(cbwsonly)","Essex, VA"
373,4,"51059(cbwsonly)","Fairfax, VA"
374,4,"51061(cbwsonly)","Fauquier, VA"
375,4,"51065(cbwsonly)","Fluvanna, VA"
396,4,"51069(cbwsonly)","Frederick, VA"
397,4,"51071(cbwsonly)","Giles, VA"
340,4,"51073(cbwsonly)","Gloucester, VA"
376,4,"51075(cbwsonly)","Goochland, VA"
377,4,"51079(cbwsonly)","Greene, VA"
341,4,"51085(cbwsonly)","Hanover, VA"
342,4,"51087(cbwsonly)","Henrico, VA"
398,4,"51091(cbwsonly)","Highland, VA"
343,4,"51093(cbwsonly)","Isle Of Wight, VA"
344,4,"51095(cbwsonly)","James City, VA"
345,4,"51097(cbwsonly)","King And Queen, VA"
346,4,"51099(cbwsonly)","King George, VA"
347,4,"51101(cbwsonly)","King William, VA"
348,4,"51103(cbwsonly)","Lancaster, VA"
378,4,"51107(cbwsonly)","Loudoun, VA"
379,4,"51109(cbwsonly)","Louisa, VA"
380,4,"51113(cbwsonly)","Madison, VA"
349,4,"51115(cbwsonly)","Mathews, VA"
350,4,"51119(cbwsonly)","Middlesex, VA"
399,4,"51121(cbwsonly)","Montgomery, VA"
381,4,"51125(cbwsonly)","Nelson, VA"
351,4,"51127(cbwsonly)","New Kent, VA"
352,4,"51131(cbwsonly)","Northampton, VA"
353,4,"51133(cbwsonly)","Northumberland, VA"
382,4,"51135(cbwsonly)","Nottoway, VA"
383,4,"51137(cbwsonly)","Orange, VA"
400,4,"51139(cbwsonly)","Page, VA"
384,4,"51145(cbwsonly)","Powhatan, VA"
385,4,"51147(cbwsonly)","Prince Edward, VA"
354,4,"51149(cbwsonly)","Prince George, VA"
386,4,"51153(cbwsonly)","Prince William, VA"
387,4,"51157(cbwsonly)","Rappahannock, VA"
355,4,"51159(cbwsonly)","Richmond, VA"
401,4,"51161(cbwsonly)","Roanoke, VA"
402,4,"51163(cbwsonly)","Rockbridge, VA"
403,4,"51165(cbwsonly)","Rockingham, VA"
404,4,"51171(cbwsonly)","Shenandoah, VA"
388,4,"51177(cbwsonly)","Spotsylvania, VA"
389,4,"51179(cbwsonly)","Stafford, VA"
356,4,"51181(cbwsonly)","Surry, VA"
405,4,"51187(cbwsonly)","Warren, VA"
357,4,"51193(cbwsonly)","Westmoreland, VA"
358,4,"51199(cbwsonly)","York, VA"
462,4,"51510(cbwsonly)","Alexandria, VA"
463,4,"51530(cbwsonly)","Buena Vista, VA"
464,4,"51540(cbwsonly)","Charlottesville City, VA"
359,4,"51550(cbwsonly)","Chesapeake City, VA"
465,4,"51570(cbwsonly)","Colonial Heights City, VA"
466,4,"51580(cbwsonly)","Covington City, VA"
467,4,"51600(cbwsonly)","Fairfax City, VA"
468,4,"51610(cbwsonly)","Falls Church City, VA"
469,4,"51630(cbwsonly)","Fredericksburg City, VA"
470,4,"51650(cbwsonly)","Hampton City, VA"
471,4,"51660(cbwsonly)","Harrisonburg City, VA"
472,4,"51670(cbwsonly)","Hopewell City, VA"
473,4,"51678(cbwsonly)","Lexington City, VA"
474,4,"51680(cbwsonly)","Lynchburg City, VA"
475,4,"51683(cbwsonly)","Manassas City, VA"
476,4,"51685(cbwsonly)","Manassas Park City, VA"
477,4,"51700(cbwsonly)","Newport News City, VA"
478,4,"51710(cbwsonly)","Norfolk City, VA"
479,4,"51730(cbwsonly)","Petersburg City, VA"
480,4,"51735(cbwsonly)","Poquoson City, VA"
481,4,"51740(cbwsonly)","Portsmouth City, VA"
482,4,"51760(cbwsonly)","Richmond City, VA"
483,4,"51790(cbwsonly)","Staunton City, VA"
360,4,"51800(cbwsonly)","Suffolk City, VA"
361,4,"51810(cbwsonly)","Virginia Beach City, VA"
484,4,"51820(cbwsonly)","Waynesboro City, VA"
485,4,"51830(cbwsonly)","Williamsburg City, VA"
486,4,"51840(cbwsonly)","Winchester City, VA"
406,4,"54003(cbwsonly)","Berkeley, WV"
407,4,"54023(cbwsonly)","Grant, WV"
408,4,"54027(cbwsonly)","Hampshire, WV"
409,4,"54031(cbwsonly)","Hardy, WV"
410,4,"54037(cbwsonly)","Jefferson, WV"
411,4,"54057(cbwsonly)","Mineral, WV"
412,4,"54063(cbwsonly)","Monroe, WV"
413,4,"54065(cbwsonly)","Morgan, WV"
414,4,"54071(cbwsonly)","Pendleton, WV"
415,4,"54077(cbwsonly)","Preston, WV"
416,4,"54093(cbwsonly)","Tucker, WV"
